origin,destination,race,multinomial,bayesian_multinomial,ordered_logistic,bayesian_ordered_logistic
5,5,0,0.41,0.41,0.42,0.41
5,5,1,0.14,0.14,0.22,0.17
5,4,0,0.33,0.33,0.28,0.29
5,4,1,0.27,0.27,0.26,0.2
5,3,0,0.13,0.13,0.17,0.16
5,3,1,0.22,0.22,0.25,0.28
5,2,0,0.07,0.07,0.09,0.09
5,2,1,0.15,0.15,0.17,0.2
5,1,0,0.07,0.07,0.04,0.04
5,1,1,0.23,0.23,0.11,0.14
4,5,0,0.25,0.25,0.24,0.26
4,5,1,0.06,0.06,0.11,0.08
4,4,0,0.27,0.27,0.27,0.26
4,4,1,0.16,0.16,0.17,0.13
4,3,0,0.21,0.21,0.24,0.21
4,3,1,0.26,0.26,0.25,0.26
4,2,0,0.15,0.15,0.16,0.16
4,2,1,0.23,0.23,0.26,0.27
4,1,0,0.12,0.12,0.09,0.11
4,1,1,0.29,0.29,0.22,0.27
3,5,0,0.16,0.16,0.15,0.17
3,5,1,0.03,0.03,0.06,0.04
3,4,0,0.22,0.22,0.21,0.21
3,4,1,0.11,0.11,0.11,0.09
3,3,0,0.23,0.23,0.26,0.22
3,3,1,0.23,0.23,0.2,0.22
3,2,0,0.22,0.17,0.23,0.22
3,2,1,0.28,0.28,0.29,0.29
3,1,0,0.17,0.17,0.16,0.18
3,1,1,0.35,0.35,0.34,0.36
2,5,0,0.12,0.12,0.1,0.12
2,5,1,0.02,0.02,0.04,0.03
2,4,0,0.14,0.14,0.17,0.18
2,4,1,0.06,0.06,0.08,0.06
2,3,0,0.23,0.23,0.24,0.21
2,3,1,0.21,0.21,0.16,0.19
2,2,0,0.28,0.28,0.26,0.25
2,2,1,0.31,0.31,0.28,0.29
2,1,0,0.23,0.23,0.22,0.25
2,1,1,0.4,0.4,0.43,0.43
1,5,0,0.1,0.1,0.07,0.07
1,5,1,0.02,0.02,0.03,0.01
1,4,0,0.1,0.1,0.13,0.13
1,4,1,0.04,0.04,0.06,0.04
1,3,0,0.19,0.19,0.22,0.19
1,3,1,0.15,0.15,0.13,0.15
1,2,0,0.28,0.28,0.29,0.27
1,2,1,0.28,0.28,0.26,0.28
1,1,0,0.32,0.32,0.3,0.33
1,1,1,0.52,0.52,0.53,0.51